  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.37	     2806.73
   21.55	     2807.51	     2806.72
   32.32	     2807.64	     2806.71
   43.10	     2807.78	     2806.70
   53.87	     2807.92	     2806.70
   64.65	     2808.06	     2806.69
   75.42	     2808.19	     2806.68
   86.20	     2808.30	     2806.68
   96.97	     2808.42	     2806.67
  107.75	     2808.53	     2806.67
  118.53	     2808.65	     2806.66
  129.30	     2808.76	     2806.65
  140.08	     2808.65	     2806.91
  151.08	     2809.37	     2806.22
  162.09	     2809.56	     2806.21
  173.09	     2809.74	     2806.20
  184.10	     2809.92	     2806.18
  195.11	     2810.10	     2806.17
  206.11	     2810.29	     2806.15
  217.12	     2810.47	     2806.13
  228.13	     2810.65	     2806.12
  239.13	     2810.83	     2806.10
  250.14	     2811.02	     2806.08
  261.15	     2811.20	     2806.07
  272.15	     2811.39	     2806.05
  283.16	     2811.57	     2806.04
  294.17	     2811.76	     2806.02
  305.17	     2811.94	     2806.00
  316.18	     2812.12	     2805.99
  327.19	     2812.31	     2805.97
  338.19	     2812.50	     2805.96
  349.20	     2812.68	     2805.94
  360.21	     2812.87	     2805.92
  371.21	     2813.05	     2805.91
  382.22	     2813.23	     2805.89
  393.23	     2813.41	     2805.87
  404.23	     2813.60	     2805.86
  415.24	     2813.78	     2805.84
  426.25	     2813.97	     2805.83
  437.25	     2814.16	     2805.81
  448.26	     2814.35	     2805.79
  459.27	     2814.54	     2805.78
  470.27	     2814.73	     2805.76
  481.28	     2814.92	     2805.74
  492.29	     2815.11	     2805.73
  503.29	     2815.30	     2805.71
  514.30	     2815.49	     2805.70
  525.31	     2815.67	     2805.68
  536.31	     2815.86	     2805.66
  547.32	     2816.05	     2805.65
  558.33	     2816.23	     2805.63
  569.33	     2816.42	     2805.61
  580.34	     2816.61	     2805.60
  591.34	     2816.79	     2805.58
  602.35	     2816.98	     2805.56
  613.36	     2817.18	     2805.55
  624.36	     2817.36	     2805.53
  635.37	     2817.55	     2805.52
  646.38	     2817.74	     2805.50
  657.38	     2817.93	     2805.48
  668.39	     2818.12	     2805.47
  679.40	     2818.31	     2805.45
  690.40	     2818.50	     2805.43
  701.41	     2818.69	     2805.42
  712.42	     2818.88	     2805.40
  723.42	     2819.07	     2805.38
  734.43	     2819.26	     2805.37
  745.44	     2819.45	     2805.35
  756.44	     2819.65	     2805.33
  767.45	     2819.84	     2805.32
  778.46	     2820.03	     2805.30
  789.46	     2820.23	     2805.28
  800.47	     2820.43	     2805.27
  811.48	     2820.70	     2805.38
  822.48	     2820.97	     2805.39
  833.49	     2821.15	     2805.38
  844.50	     2821.32	     2805.36
  855.50	     2821.50	     2805.35
  866.51	     2821.67	     2805.34
  877.52	     2821.85	     2805.32
  888.52	     2822.02	     2805.31
  899.53	     2822.20	     2805.30
  910.54	     2822.37	     2805.28
  921.54	     2822.54	     2805.27
  932.55	     2822.72	     2805.26
  943.56	     2822.89	     2805.24
  954.56	     2823.06	     2805.23
  965.57	     2823.24	     2805.22
  976.58	     2823.41	     2805.21
  987.58	     2823.59	     2805.19
  998.59	     2823.76	     2805.18
 1009.59	     2823.94	     2805.17
 1020.60	     2824.12	     2805.15
 1031.61	     2824.29	     2805.14
 1042.61	     2824.47	     2805.13
 1053.62	     2824.65	     2805.11
 1064.63	     2824.82	     2805.10
 1075.63	     2825.00	     2805.09
 1086.64	     2825.18	     2805.08
 1097.65	     2825.36	     2805.06
 1108.65	     2825.53	     2805.05
 1119.66	     2825.71	     2805.04
 1130.67	     2825.89	     2805.02
 1141.67	     2826.08	     2805.01
 1152.68	     2826.26	     2805.00
 1163.69	     2826.44	     2804.99
 1174.69	     2826.62	     2804.97
 1185.70	     2826.81	     2804.96
 1196.71	     2826.99	     2804.95
 1207.71	     2827.17	     2804.93
 1218.72	     2827.36	     2804.92
 1229.73	     2827.54	     2804.91
 1240.73	     2827.73	     2804.89
 1251.74	     2827.91	     2804.88
 1262.75	     2828.09	     2804.87
 1273.75	     2828.28	     2804.85
 1284.76	     2828.47	     2804.84
 1295.77	     2828.66	     2804.82
 1306.77	     2828.84	     2804.81
 1317.78	     2829.03	     2804.80
 1328.79	     2829.22	     2804.78
 1339.79	     2829.41	     2804.77
 1350.80	     2829.60	     2804.76
 1361.81	     2829.78	     2804.74
 1372.81	     2829.97	     2804.73
 1383.82	     2830.16	     2804.72
 1394.83	     2830.35	     2804.70
 1405.83	     2830.53	     2804.69
 1416.84	     2830.72	     2804.68
 1427.85	     2830.90	     2804.66
 1438.85	     2831.09	     2804.65
 1449.86	     2831.27	     2804.64
 1460.86	     2831.46	     2804.62
 1471.87	     2831.65	     2804.61
 1482.88	     2831.14	     2805.27
 1493.54	     2831.56	     2803.94
 1504.21	     2832.17	     2803.73
 1514.88	     2832.67	     2803.29
 1526.03	     2833.31	     2802.74
 1537.17	     2833.83	     2802.67
 1548.32	     2834.47	     2802.63
 1559.47	     2835.04	     2802.60
 1570.61	     2835.54	     2802.58
 1581.76	     2836.00	     2802.56
 1592.91	     2836.65	     2802.54
 1604.06	     2837.26	     2802.52
 1615.20	     2837.81	     2802.49
 1626.35	     2838.28	     2802.47
 1637.50	     2838.71	     2802.44
 1648.65	     2839.30	     2802.42
 1659.79	     2840.25	     2802.39
 1670.94	     2841.19	     2801.82
 1682.09	     2842.04	     2800.85
 1693.24	     2842.95	     2799.93
 1704.38	     2843.84	     2799.02
 1715.53	     2844.78	     2798.17
 1726.68	     2845.63	     2797.24
 1737.82	     2846.48	     2796.36
 1748.97	     2847.27	     2795.43
 1760.12	     2848.09	     2794.60
 1771.27	     2848.87	     2793.69
 1782.41	     2849.72	     2792.76
 1793.56	     2850.51	     2791.94
 1804.71	     2851.23	     2791.20
 1815.86	     2851.97	     2790.58
 1827.00	     2852.62	     2789.87
